Page,Codename,URL
Fox News,FoxNews,https://www.facebook.com/15704546335
Breitbart,Breitbart,https://www.facebook.com/95475020353
CNN,cnn,https://www.facebook.com/5550296508
BBC News,bbcnews,https://www.facebook.com/228735667216
ABC News,ABCNews,https://www.facebook.com/86680728811
The New York Times,nytimes,https://www.facebook.com/5281959998
The Daily Caller,DailyCaller,https://www.facebook.com/182919686769
NBC News,NBCNews,https://www.facebook.com/155869377766434
Washington Post,washingtonpost,https://www.facebook.com/6250307292
NPR,NPR,https://www.facebook.com/10643211755
TheBlaze,TheBlaze,https://www.facebook.com/140738092630206
CBS News,CBSNews,https://www.facebook.com/131459315949
Daily Wire,DailyWire,https://www.facebook.com/1435071773455316
Business Insider,businessinsider,https://www.facebook.com/20446254070
NowThis,NowThisNews,https://www.facebook.com/341163402640457
Washington Examiner,WashingtonExaminer,https://www.facebook.com/40656699159
MSNBC,msnbc,https://www.facebook.com/273864989376427
USA TODAY,usatoday,https://www.facebook.com/13652355666
New York Post,NYPost,https://www.facebook.com/134486075205
Al Jazeera English,aljazeera,https://www.facebook.com/7382473689
Reuters,Reuters,https://www.facebook.com/114050161948682
Yahoo News,yahoonews,https://www.facebook.com/338028696036
TheGrio,theGrio,https://www.facebook.com/75928194876
PBS NewsHour,newshour,https://www.facebook.com/6491828674
Noticias Telemundo,NoticiasTelemundo,https://www.facebook.com/167847008004
CNBC,cnbc,https://www.facebook.com/97212224368
Axios,axiosnews,https://www.facebook.com/1830665590513511
Univision,univision,https://www.facebook.com/259955926518
POLITICO,politico,https://www.facebook.com/62317591679
New York Daily News,NYDailyNews,https://www.facebook.com/268914272540
VICE,VICE,https://www.facebook.com/167115176655082
Los Angeles Times,latimes,https://www.facebook.com/5863113009
BuzzFeed News,BuzzFeedNews,https://www.facebook.com/618786471475708
The Wall Street Journal,wsj,https://www.facebook.com/8304333127
Newsweek,Newsweek,https://www.facebook.com/18343191100
Vox,Vox,https://www.facebook.com/223649167822693
CNN Politics,cnnpolitics,https://www.facebook.com/219367258105115
AP,APNews,https://www.facebook.com/249655421622
The Root,theRoot,https://www.facebook.com/26423400230
VICE News,vicenews,https://www.facebook.com/235852889908002
The Daily Beast,thedailybeast,https://www.facebook.com/37763684202
Bloomberg,bloombergbusiness,https://www.facebook.com/266790296879
The Atlantic,TheAtlantic,https://www.facebook.com/29259828486
Blavity,Blavity,https://www.facebook.com/623207481078330
RedState,RedStateBlog,https://www.facebook.com/106547192707583
The Washington Times,TheWashingtonTimes,https://www.facebook.com/35994014410
AJ+,ajplusenglish,https://www.facebook.com/407570359384477
TIME,time,https://www.facebook.com/10606591490
NewsOne,NewsOneOfficial,https://www.facebook.com/122177661170978
Financial Times,financialtimes,https://www.facebook.com/8860325749
HuffPost Black Voices,HuffPostBlackVoices,https://www.facebook.com/10018702564
FRONTLINE | PBS,frontline,https://www.facebook.com/45168721640
Guardian US,GuardianUs,https://www.facebook.com/456740217686384
ATTN:,attn,https://www.facebook.com/160389977329803
U.S. News and World Report,usnewsandworldreport,https://www.facebook.com/5834919267
The Christian Science Monitor,ChristianScienceMonitor,https://www.facebook.com/14660729657
Complex News,complexnews,https://www.facebook.com/155842394569120
USA TODAY Video,usatodayvideo,https://www.facebook.com/236655713446291
Quartz,quartznews,https://www.facebook.com/444654488901592
OZY,OZY,https://www.facebook.com/1393911800825140
HuffPost Latino Voices,HuffPostLatinoVoices,https://www.facebook.com/256004367748633
CRWN MAG,crwnmag,https://www.facebook.com/1483402721959521
Splinter,splinternews,https://www.facebook.com/1952305285054917
Quartz News,QuartzNewsShow,https://www.facebook.com/393412984478751
