Page,Codename,URL
Ben Shapiro,officialbenshapiro,https://www.facebook.com/203805062990264
Breitbart,Breitbart,https://www.facebook.com/95475020353
The Hill,TheHill,https://www.facebook.com/7533944086
The Western Journal,WesternJournal,https://www.facebook.com/123624513983
TheBlaze,TheBlaze,https://www.facebook.com/140738092630206
NowThis,NowThisNews,https://www.facebook.com/341163402640457
Washington Examiner,WashingtonExaminer,https://www.facebook.com/40656699159
IJR,theijr,https://www.facebook.com/189885532970
The Young Turks,TheYoungTurks,https://www.facebook.com/210277954204
Axios,axiosnews,https://www.facebook.com/1830665590513511
POLITICO,politico,https://www.facebook.com/62317591679
Vox,Vox,https://www.facebook.com/223649167822693
CNN Politics,cnnpolitics,https://www.facebook.com/219367258105115
The Daily Beast,thedailybeast,https://www.facebook.com/37763684202
HuffPost Politics,HuffPostPolitics,https://www.facebook.com/56845382910
C-SPAN,CSPAN,https://www.facebook.com/21472760578
RedState,RedStateBlog,https://www.facebook.com/106547192707583
Mother Jones,motherjones,https://www.facebook.com/7642602143
NBC Politics,NBCPolitics,https://www.facebook.com/154957517930371
PolitiFact,politifact,https://www.facebook.com/61308923432
Conservative Review,ConservativeReview,https://www.facebook.com/475549362567960
Daily Kos,dailykos,https://www.facebook.com/43179984254
ABC News Politics,ABCNewsPolitics,https://www.facebook.com/184096565021911
Washington Post Politics,washingtonpostpolitics,https://www.facebook.com/374111579728
Salon,salon,https://www.facebook.com/120680396518
Mic,MicMedia,https://www.facebook.com/174742062548592
Human Events,humaneventsmedia,https://www.facebook.com/212436860202
IJR Politics,injopolitics,https://www.facebook.com/687156898054966
Washington Free Beacon,FreeBeacon,https://www.facebook.com/282024895179874
Talking Points Memo,talkingpointsmemo,https://www.facebook.com/98658495398
ATTN:,attn,https://www.facebook.com/160389977329803
Foreign Policy,foreign.policy.magazine,https://www.facebook.com/21218780346
U.S. News and World Report,usnewsandworldreport,https://www.facebook.com/5834919267
Bloomberg Politics,BloombergPolitics,https://www.facebook.com/1481073582140028
RealClearPolitics,realclearpolitics,https://www.facebook.com/27088225427
Roll Call,RollCall,https://www.facebook.com/245197828434
ATTN: Video,ATTNVideo,https://www.facebook.com/1541839722787650
PoliticsNation with Al Sharpton,PoliticsNation,https://www.facebook.com/280920811923248
Commentary,commentarymagazine,https://www.facebook.com/30719304648
BuzzFeed Politics,BuzzFeedPol,https://www.facebook.com/354263831266028
WSJ Politics,WSJPolitics,https://www.facebook.com/1517411755157077
RenewAmerica,RenewAmericaUSA,https://www.facebook.com/213504178922
The Information,gettheinformation,https://www.facebook.com/322278407910875
Political Wire,PoliticalWire,https://www.facebook.com/126284487422
Inside Elections w/ Nathan L. Gonzales,insideelections,https://www.facebook.com/293355719688
Roll Call Politics,rollcallpolitics,https://www.facebook.com/383181928362180
CQ,cqrollcall,https://www.facebook.com/103006196442276
CBS News Politics,CBSPolitics,https://www.facebook.com/136227773084919
Rated Red,realratedred,https://www.facebook.com/974388932599370
Blavity Politics,BlavityIncPolitics,https://www.facebook.com/361833001133157
