Page,Codename,URL
People,peoplemag,https://www.facebook.com/95926963131
Daily Mail Celebrity,DailyMailCeleb,https://www.facebook.com/251934468302503
Shadow And Act,shadowandact,https://www.facebook.com/158448735624
Entertainment Weekly,entertainmentweekly,https://www.facebook.com/52150999700
People Parents,PeopleParents,https://www.facebook.com/10181302803
Us Weekly,UsWeekly,https://www.facebook.com/9034820804
Collider.com,collider,https://www.facebook.com/160246414365
The Shade Room,theshaderoom,https://www.facebook.com/1462426734001720
Complex,complex,https://www.facebook.com/8719774366
Page Six,pagesix,https://www.facebook.com/386146869432
Vanity Fair,vanityfairmagazine,https://www.facebook.com/8810407571
USA TODAY Life,USATODAYlife,https://www.facebook.com/137698179626815
UPROXX,UPROXX,https://www.facebook.com/116548701336
HYPEBEAST,hypebeast,https://www.facebook.com/10862404186
Complex Sneakers,ComplexSneakers,https://www.facebook.com/117696581735620
Vulture,Vulture,https://www.facebook.com/115049898514565
PeopleTV,PeopleTVNetwork,https://www.facebook.com/485708738294084
InStyle,InStyle,https://www.facebook.com/18938064984
90s Kids,90skidsbustle,https://www.facebook.com/425089504345379
HuffPost Entertainment,HuffPostEntertainment,https://www.facebook.com/70072372362
Complex Music,complexmagMUSIC,https://www.facebook.com/425644600841949
BuzzFeed Celeb,BuzzFeedCeleb,https://www.facebook.com/262059950576033
AOL,aol,https://www.facebook.com/107651419258212
Bossip.com,Bossip,https://www.facebook.com/106856409344350
People Country,peoplecountry,https://www.facebook.com/263682150681
NowThis Entertainment,NowThisEntertainment,https://www.facebook.com/868164246578472
Entertainment Insider,thisisinsiderentertainment,https://www.facebook.com/1565713960405733
Paper Magazine,papermag,https://www.facebook.com/16081247185
OK! Magazine,okmagazine,https://www.facebook.com/121798958156
Screening by Mashable,mashablescreening,https://www.facebook.com/315957273077
BuzzFeed Entertainment,BuzzFeedEntertainment,https://www.facebook.com/458142997564706
Moviefone,moviefone,https://www.facebook.com/34489818507
Interview Magazine,InterviewMagazineUS,https://www.facebook.com/19102990154
Sports Illustrated Swimsuit,SISwimsuit,https://www.facebook.com/112580212107733
Thrillist Entertainment,thrillistentertainment,https://www.facebook.com/294113087443680
The Mention,R29Entertainment,https://www.facebook.com/587074007996399
Chica,peoplechica,https://www.facebook.com/174130609616243
Cosmo Celeb,cosmoceleb,https://www.facebook.com/1769114956706424
CRWN MAG,crwnmag,https://www.facebook.com/1483402721959521
Vanity Fair's HWD,vfhollywood,https://www.facebook.com/1430420047174834
Bachelor Fans on Bustle,bacheloronbustle,https://www.facebook.com/1565271017059940
Game of Thrones Fans on Bustle,gameofthronesfansbustle,https://www.facebook.com/1598532483693032
Pretty Little Liars & Riverdale Fans,riverdalefans.elitedaily,https://www.facebook.com/854264504620314
Southern Charm Fans on Bustle,southerncharmfansonbustle,https://www.facebook.com/986140378103180
Real Housewives Fans on Bustle,realhousewivesbustle,https://www.facebook.com/798423506901575
Entertainment Weekly TV,EntertainmentWeeklyTV,https://www.facebook.com/706576559432851
Empire Fans on Bustle,EmpireFansOnBustle,https://www.facebook.com/1812085605683622
Kardashian Fans on Bustle,kardashianfansonbustle,https://www.facebook.com/880319425363104
Netflix Fans on Bustle,netflixonbustle,https://www.facebook.com/112703132404308
Tom Hiddleston Fans on Bustle,TomHiddlestonFansBustle,https://www.facebook.com/661031297341916
Entertainment Weekly Movies,EntertainmentWeeklyMovies,https://www.facebook.com/569932006490604
Vanity Fair's Vanities,VFvanities,https://www.facebook.com/275531249489721
Ponte Bella,peoplepontebella,https://www.facebook.com/1214177471947239
