Page,Codename,URL
Leslie Jordan,thelesliejordan,https://www.facebook.com/133335470026575
Thiago Ventura,othiagoventura,https://www.facebook.com/135419266589639
Chelsea Handler,chelseahandler,https://www.facebook.com/45475996942
Adam Carolla,adamcarolla,https://www.facebook.com/17738138995
The Real Mike Epps,realmikeepps,https://www.facebook.com/105645934305202
Rafinha Bastos,rafinhabastos,https://www.facebook.com/122876494458807
Earthquake,RealEarthquake,https://www.facebook.com/57947789466
Martin Matte,martinmatte,https://www.facebook.com/21024748280
Jim Gaffigan,JimGaffigan,https://www.facebook.com/5642244660
André Santi,andresantihumor,https://www.facebook.com/173033499427147
Brad Stine,officialbradstine,https://www.facebook.com/156983174443714
Russell Brand,RussellBrand,https://www.facebook.com/21641548176
Dc Young Fly,DcYoungFly1,https://www.facebook.com/607285276029511
Rudy Landucci,rudyhumor,https://www.facebook.com/381877181825198
Maurício Meirelles,Mauricio.Meirelles.Oficial,https://www.facebook.com/193505894007242
Mr Cian Twomey,MrCianTwomey,https://www.facebook.com/382375331894742
Josh Wolf,joshwolfcomedy,https://www.facebook.com/39247573312
Jack Vale,officialjackvale,https://www.facebook.com/138725779498014
Steve-O,SteveO,https://www.facebook.com/169552423070535
Arsenio Hall,ArsenioHall,https://www.facebook.com/286281948092768
Theo Von,theo.von,https://www.facebook.com/237955720149
Stéphane Rousseau Officiel,stephanerousseauofficiel,https://www.facebook.com/130099557001170
Joel McHale,joelmchale,https://www.facebook.com/75004018682
Margaret Cho,officialmargaretcho,https://www.facebook.com/5779599977
Fortune Feimster,fortunefunny,https://www.facebook.com/67669390768
Marc Maron,WTFPodcast,https://www.facebook.com/159240067038
Murilo Couto,murilocoutonegro,https://www.facebook.com/296853127028869
Gary Owen,GaryOwen,https://www.facebook.com/55107614236
Sarah Silverman,SarahSilverman,https://www.facebook.com/162150313835070
Tim Allen,ofctimallen,https://www.facebook.com/145064349310
Nephew Tommy,NephewTommy,https://www.facebook.com/367228593039
Geraldo Magela - Ceguinho,oceguinho,https://www.facebook.com/245432635488854
Heather McDonald,heathermcdonaldcomedy,https://www.facebook.com/483987631637740
Aasif Mandvi,aasifmandvi,https://www.facebook.com/138241429521494
Barbixas,barbixas,https://www.facebook.com/105131192867881
David Spade,DavidSpade,https://www.facebook.com/65095267677
Trixx,ComedianTrixx,https://www.facebook.com/55413166911
Jim Breuer,JimBreuer,https://www.facebook.com/48094712024
Derek,DXT.Derek,https://www.facebook.com/163348302966
Dan Cummins,dancumminscomedy,https://www.facebook.com/40343186368
Daniel Nascimento,notfakeDaniel,https://www.facebook.com/387432134677658
Zane Lamprey,ZaneLamprey,https://www.facebook.com/53922023634
Adele Givens Too,adelegivensSuchalady,https://www.facebook.com/301453616536749
Kathleen Madigan,KathleenMadigan,https://www.facebook.com/95656339923
Luisa Omielan,luisaomielan,https://www.facebook.com/139304369434763
Taylor Williamson,taylorwilliamsonfan,https://www.facebook.com/140813019670
Big Jay Oakerson,jayoakerson,https://www.facebook.com/176956152346982
Bruno Motta,brunomottaoficial,https://www.facebook.com/184737998234010
Bob Saget,bobsaget,https://www.facebook.com/123094714264
Justin Hires,justinhires,https://www.facebook.com/232806090091763
