Page,Codename,URL
Family Guy,FamilyGuy,https://www.facebook.com/24609282673
Last Man Standing,LastManStandingFOX,https://www.facebook.com/124383187641167
Letterkenny Problems,letterkennyproblemsofficial,https://www.facebook.com/591541370880457
Trailer Park Boys,trailerparkboys,https://www.facebook.com/183304218423808
Younger,youngertv,https://www.facebook.com/1413170245615024
Bob's Burgers,BobsBurgers,https://www.facebook.com/102666876445950
The Rookie,TheRookieABC,https://www.facebook.com/214062762478176
The Simpsons,TheSimpsons,https://www.facebook.com/29534858696
black-ish,blackishABC,https://www.facebook.com/276865395802593
grown-ish,grownishTV,https://www.facebook.com/632379313621675
The Conners,TheConnersABC,https://www.facebook.com/1454716688007653
American Housewife,AmericanHousewife,https://www.facebook.com/1754369734842515
Mom,MomCBS,https://www.facebook.com/346495508788789
The Orville,TheOrville,https://www.facebook.com/127428534470290
Young Sheldon,YoungSheldonCBS,https://www.facebook.com/1248674341915000
Parks and Recreation,parksandrecreation,https://www.facebook.com/63235852597
Brooklyn Nine-Nine,BrooklynNineNine,https://www.facebook.com/310718132392309
Shameless on Showtime,ShamelessOnShowtime,https://www.facebook.com/101202796604801
Freeform’s Good Trouble,GoodTrouble,https://www.facebook.com/580570918976478
The Office,TheOfficeTV,https://www.facebook.com/6092929747
Good Girls,NBCGoodGirls,https://www.facebook.com/286094561830947
The Goldbergs,TheGoldbergsABC,https://www.facebook.com/459068727496944
The Marvelous Mrs. Maisel,MaiselTV,https://www.facebook.com/783185821858634
It's Always Sunny in Philadelphia,alwayssunny,https://www.facebook.com/10473091455
The Big Bang Theory,TheBigBangTheory,https://www.facebook.com/22934684677
Freeform’s The Bold Type,TheBoldTypeTV,https://www.facebook.com/258994111202957
Superstore,NBCSuperstore,https://www.facebook.com/764744533610366
Modern Family,ModernFamily,https://www.facebook.com/130577231135
mixed-ish,mixedish,https://www.facebook.com/283585929245249
Fresh off the Boat,FreshOffTheBoatABC,https://www.facebook.com/1443588465873853
The Neighborhood,TheNeighborhoodCBS,https://www.facebook.com/1970654403009296
Desus & Mero on Showtime,DESUSandMERO,https://www.facebook.com/255846418645406
A.P. Bio,apbiopeacock,https://www.facebook.com/1390390974357780
Betty en NY,bettyenny,https://www.facebook.com/1587322438052895
Archer,ArcherFXX,https://www.facebook.com/167784669907069
Arrested Development,ArrestedDevelopment,https://www.facebook.com/213663452113501
Curb Your Enthusiasm,curbyourenthusiasm,https://www.facebook.com/231408410531
Orange Is the New Black,OITNB,https://www.facebook.com/117077371822374
VEEP,veep,https://www.facebook.com/270240406386785
Silicon Valley,SiliconHBO,https://www.facebook.com/267012543446119
You're the Worst,youretheworst,https://www.facebook.com/188995037944617
Transparent,transparentamazon,https://www.facebook.com/637194856301162
The Mindy Project,TheMindyProject,https://www.facebook.com/407288339301542
BoJack Horseman,BoJackHorseman,https://www.facebook.com/502365033212787
Unbreakable Kimmy Schmidt,UnbreakableKimmySchmidt,https://www.facebook.com/751893428177527
iZombie,cwizombie,https://www.facebook.com/236315886492189
Grace and Frankie,GraceandFrankie,https://www.facebook.com/264686147049166
Jane The Virgin,cwjanethevirgin,https://www.facebook.com/1425838674331956
Ballers,BallersHBO,https://www.facebook.com/1475832492681910
Difficult People,DifficultOnHulu,https://www.facebook.com/1130552206960792
Crazy Ex-Girlfriend,crazyxgf,https://www.facebook.com/701243620005232
Life In Pieces,LifeInPiecesTV,https://www.facebook.com/773183982773086
Casual,CasualOnHulu,https://www.facebook.com/100277610315112
Fargo,FargoFX,https://www.facebook.com/143743819137192
F is for Family,FisforFamilyNetflix,https://www.facebook.com/728129627299143
Fuller House,FullerHouseNetflix,https://www.facebook.com/399624460237945
Red Oaks,RedOaksTV,https://www.facebook.com/163783223966889
Baskets,basketsfx,https://www.facebook.com/1418752988401041
LOVE,LoveOnNetflix,https://www.facebook.com/777143805728911
Deadbeat,deadbeatonhulu,https://www.facebook.com/1020754601338205
The Ranch,TheRanchNetflix,https://www.facebook.com/109586906075054
Patriot,PatriotAmazon,https://www.facebook.com/1497353257231304
The Good Place,NBCTheGoodPlace,https://www.facebook.com/798773163584746
Lethal Weapon FOX,LethalWeaponFOX,https://www.facebook.com/1048614701865396
Speechless,OfficialSpeechlessTV,https://www.facebook.com/1579376802355149
Man With A Plan,manwithaplancbs,https://www.facebook.com/239981373033165
Atlanta,AtlantaFX,https://www.facebook.com/935789593158772
Better Things,BetterThingsFX,https://www.facebook.com/1604478066448921
Insecure,InsecureHBO,https://www.facebook.com/554069251420279
Divorce,DivorceOnHBO,https://www.facebook.com/1004573449655918
Fleabag,fleabag,https://www.facebook.com/1703317246577710
The Tick,TheTick,https://www.facebook.com/1233933106640576
High Maintenance,helpingyoumaintain,https://www.facebook.com/378753558871933
Imposters,ImpostersBravo,https://www.facebook.com/1840361039513625
Les Invisibles,LesInvisibles.TF1,https://www.facebook.com/608097722691803
Santa Clarita Diet,SantaClaritaDiet,https://www.facebook.com/1006224209426685
Alone Together,AloneTogetherSeries,https://www.facebook.com/1688647838065233
Crashing,CrashingHBO,https://www.facebook.com/1717549518488183
