Page,Codename,URL
Positive Parenting Solutions,PositiveParentingSolutions,https://www.facebook.com/64040863005
U.S. Department of Education,ED.gov,https://www.facebook.com/119446064319
Inside Higher Ed,InsideHigherEdDC,https://www.facebook.com/22711416526
GLSEN,GLSEN,https://www.facebook.com/7694286015
Education Week,edweek,https://www.facebook.com/5887538795
NEA Today,neatoday,https://www.facebook.com/140357056032320
Chronicle of Higher Education,chronicle.of.higher.education,https://www.facebook.com/12692955711
Parenting Special Needs Magazine,parenting.special.needs.magazine,https://www.facebook.com/182152089630
DANCOW Parenting Center,DancowParentingCenter,https://www.facebook.com/62057006002
Box Tops for Education,BoxTopsForEducation,https://www.facebook.com/135480562842
Girls and Autism - Parenting Girls on the Autism Spectrum,AutismGirls,https://www.facebook.com/238549766218900
Study.com,StudyDotCom,https://www.facebook.com/190838457608566
ELS Language Centers,els,https://www.facebook.com/143068955412
Institute of International Education (IIE),IIEglobal,https://www.facebook.com/111440548427
Parenting.com,Parenting,https://www.facebook.com/40947904152
Education Writers Association,EdWriters,https://www.facebook.com/5868472835
Facebook for Education,education,https://www.facebook.com/191921000271
Averages,,
