Page,Codename,URL
Nintendo Switch,NintendoSwitch,https://www.facebook.com/1125429570886433
Halo,Halo,https://www.facebook.com/120685448012735
Square Enix,SquareEnix,https://www.facebook.com/59916854460
Konami,konami,https://www.facebook.com/33404976120
Epic Games,epicgames,https://www.facebook.com/44457290139
Nintendo,Nintendo,https://www.facebook.com/119240841493711
Insomniac Games,insomniacgames,https://www.facebook.com/91127584852
Activision,Activision,https://www.facebook.com/375458449175696
SEGA,SEGA,https://www.facebook.com/28248536795
Capcom USA,capcomusa,https://www.facebook.com/6938264959
Rockstar Games,rockstargames,https://www.facebook.com/51752540096
"Naughty Dog, LLC",naughtydog,https://www.facebook.com/57327290245
Ubisoft,ubisoft,https://www.facebook.com/81174647292
Atari,atari,https://www.facebook.com/66215843533
BANDAI NAMCO Entertainment,BandaiNamcoUS,https://www.facebook.com/49054165628
Bungie,Bungie,https://www.facebook.com/57193326148
Telltale Games,telltalegames,https://www.facebook.com/11530858596
EA - Electronic Arts,EA,https://www.facebook.com/68678914189
Zynga Inc.,Zynga,https://www.facebook.com/271464258033
EA SPORTS,easports,https://www.facebook.com/47151801650
Relic Entertainment,relicentertainment,https://www.facebook.com/6105043609
Supercell,supercell,https://www.facebook.com/126192814092720
Maxis,maxis,https://www.facebook.com/32533512985
id Software,idsoftware,https://www.facebook.com/52628172089
Bethesda,BethesdaSoftworks,https://www.facebook.com/139538492780349
Gameloft,gameloft,https://www.facebook.com/216238295505
Deep Silver,deepsilver,https://www.facebook.com/327980644135
Microsoft Visual Studio,visualstudio,https://www.facebook.com/102038129831681
Nintendo 3DS & Nintendo 2DS,Nintendo3DS,https://www.facebook.com/149152295156770
Blizzard,Blizzard,https://www.facebook.com/152083869857
Nexon Mobile,nexonmobile,https://www.facebook.com/1518301041731594
Infinity Ward,InfinityWard,https://www.facebook.com/92819932488
Ghost Story Games,ghoststorygames,https://www.facebook.com/293112665458
Valve Software Corporation,ValveSoftwareCorporation,https://www.facebook.com/147555441941476
Averages,,
