Page,Codename,URL
Dwayne The Rock Johnson,DwayneJohnson,https://www.facebook.com/406433779383
Jennifer Lopez,jenniferlopez,https://www.facebook.com/5170395767
Kim Kardashian West,KimKardashian,https://www.facebook.com/114696805612
Vin Diesel,VinDiesel,https://www.facebook.com/89562268312
Blake Shelton,blakeshelton,https://www.facebook.com/5842919894
Katy Perry,katyperry,https://www.facebook.com/7126051465
Ricky Martin,RickyMartinOfficialPage,https://www.facebook.com/61087961080
Nick Jonas,nickjonas,https://www.facebook.com/173093076641
Ted Nugent,tednugent,https://www.facebook.com/124016042296
Gordon Ramsay,gordonramsay,https://www.facebook.com/170304082992864
Channing Tatum,channingtatum,https://www.facebook.com/9964154115
Jada Pinkett Smith,jada,https://www.facebook.com/51346591319
Khloé Kardashian,KhloeKardashian,https://www.facebook.com/113962087301
D.L. Hughley,RealDLHughley,https://www.facebook.com/219856014723410
Ellen DeGeneres,ellentv,https://www.facebook.com/26012002239
Demi Lovato,DemiLovato,https://www.facebook.com/9208539755
Alicia Keys,aliciakeys,https://www.facebook.com/6558867050
Matthew McConaughey,MatthewMcConaughey,https://www.facebook.com/118636351506759
Queen Latifah,QueenLatifah,https://www.facebook.com/90061353027
Jamie Oliver,jamieoliver,https://www.facebook.com/27994914806
Shakira,shakira,https://www.facebook.com/5027904559
Bruno Mars,brunomars,https://www.facebook.com/242567287243
Eva Longoria Baston,EvaLongoria,https://www.facebook.com/177459179245
Mario,mario,https://www.facebook.com/6148469778
Luke Bryan,lukebryan,https://www.facebook.com/7290301030
Sania Mirza,sania.mirza,https://www.facebook.com/466302066732761
Priyanka Chopra,priyankachopra,https://www.facebook.com/222401665690
Timbaland,Timbaland,https://www.facebook.com/10434435347
Kerry Washington,thekerrywashington,https://www.facebook.com/154160901280845
Mick Jagger,mickjaggerofficial,https://www.facebook.com/178001948900329
Tosh.0,toshpoint0,https://www.facebook.com/100834231907
Drew Barrymore,DrewBarrymore,https://www.facebook.com/322734964420552
T.I.,TI,https://www.facebook.com/24786692848
Alessandra Ambrosio,Alessandra,https://www.facebook.com/353199739825
Pharrell Williams,Pharrell,https://www.facebook.com/213641182015617
Gwen Stefani,gwenstefani,https://www.facebook.com/19074699872
Coco,Coco,https://www.facebook.com/119899468045320
Jaleel White,officialjaleelwhitefanpage,https://www.facebook.com/106641966043276
Novak Djokovic,djokovicofficial,https://www.facebook.com/161367337249459
Martha Stewart,marthastewart,https://www.facebook.com/32864016288
Zoe Saldana,ZoeSaldana,https://www.facebook.com/25055509149
Lil Kim,LilKimTheQueenBee,https://www.facebook.com/32935921265
JWOWW,JWoww,https://www.facebook.com/206458719122
Kevin Bacon,KevinBacon,https://www.facebook.com/127771267315494
Reba McEntire,reba,https://www.facebook.com/14969940796
Daddy Yankee,daddyyankee,https://www.facebook.com/89833162489
Miranda Lambert,mirandalambert,https://www.facebook.com/5764270741
Magic Johnson,MagicJohnson,https://www.facebook.com/200673103280250
Lionel Richie,LionelRichie,https://www.facebook.com/213734712014384
Bill Engvall,billengvall,https://www.facebook.com/13551255556
