Page,Codename,URL
Billboard,Billboard,https://www.facebook.com/75791669580
Rolling Stone,RollingStone,https://www.facebook.com/10664530778
XXL Magazine,xxlmag,https://www.facebook.com/197474901813
Consequence of Sound,consequence,https://www.facebook.com/19875021647
Pitchfork,Pitchfork,https://www.facebook.com/28015075999
NME,nmemagazine,https://www.facebook.com/9577714166
Genius,Genius,https://www.facebook.com/308252472676410
Pigeons and Planes,PigsAndPlans,https://www.facebook.com/187866389642
Rolling Stone Country,RScountry,https://www.facebook.com/1422872221315213
Premios Billboard,LatinBillboards,https://www.facebook.com/334679372000
Complex Music,complexmagMUSIC,https://www.facebook.com/425644600841949
Ambrosia For Heads,ambrosiaforheads,https://www.facebook.com/172178912816534
Billboard Hip-Hop,billboardhiphop,https://www.facebook.com/1759060021088544
Uncut Magazine,UncutMagazine,https://www.facebook.com/125356344161026
UPROXX Music,UPROXXmusic,https://www.facebook.com/17689782594
The FADER,thefader,https://www.facebook.com/6815651902
Billboard Dance,billboarddance,https://www.facebook.com/1603150936597902
Noisey,Noisey,https://www.facebook.com/139104349474671
Guardian music,musicguardian,https://www.facebook.com/150270948374835
Entertainment Weekly Music,EntertainmentWeeklyMusic,https://www.facebook.com/1667927476794109
TrackRecord,trackrecord,https://www.facebook.com/209933332711685
Billboard Pride,billboardpride,https://www.facebook.com/429809090708433
Averages,,
