Page,Codename,URL
Travel Noire,travelnoire,https://www.facebook.com/207591069416898
Travel + Leisure,travelandleisure,https://www.facebook.com/25440929072
National Geographic Adventure,NatGeoAdventure,https://www.facebook.com/30049274825
Condé Nast Traveler,CondeNastTraveler,https://www.facebook.com/21317493981
National Geographic Magazine,NGM,https://www.facebook.com/72996268335
National Geographic Travel,natgeotravel,https://www.facebook.com/24253428991
Travel Insider,thisisinsidertravel,https://www.facebook.com/1548393862154444
National Geographic,NatGeoDeutschland,https://www.facebook.com/275697388811
Tastemade Travel,tastemade.travel,https://www.facebook.com/1225320914149962
USA TODAY Travel,USATODAYtravel,https://www.facebook.com/115535341805950
Guardian Travel,TravelGuardian,https://www.facebook.com/136140769844039
CNN Travel,cnntravel,https://www.facebook.com/153794005165
The New York Times - Travel,nytimestravel,https://www.facebook.com/142271415829971
In The Know Travel,InTheKnowWanderlustByAOL,https://www.facebook.com/311042132678254
Departures Magazine,departuresmag,https://www.facebook.com/107052823305189
The New York Times - Travel Show,nyttravelshow,https://www.facebook.com/135183981456
Mail Travel,MailTravel,https://www.facebook.com/401133459914552
Thrillist Travel,thrillisttravel,https://www.facebook.com/1030451760416050
GQ Travel & Eats,GQTravelandEats,https://www.facebook.com/630208463854242
BEST Boston,BESTBostonBestProducts,https://www.facebook.com/1365052926882260
BEST Austin,BESTAustinBestProducts,https://www.facebook.com/1977223122513499
BEST Denver,BESTDenverBestProducts,https://www.facebook.com/1890961347828347
Add to Cart,addtocartvideos,https://www.facebook.com/1344536632348705
Averages,,
