Page,Codename,URL
Grey's Anatomy,GreysAnatomy,https://www.facebook.com/68471055646
American Idol,AmericanIdol,https://www.facebook.com/123984435600
The Voice,NBCTheVoice,https://www.facebook.com/167555906615100
9-1-1 on FOX,911onFOX,https://www.facebook.com/778964968931906
This Is Us,NBCThisIsUs,https://www.facebook.com/148364935556726
SEAL Team,SEALTeamCBS,https://www.facebook.com/1930215150593246
America's Funniest Home Videos,AFV,https://www.facebook.com/118526656660
The Masked Singer,MaskedSingerFOX,https://www.facebook.com/391096271299919
One Chicago,NBCOneChicago,https://www.facebook.com/162573130535985
The Good Doctor,TheGoodDoctorABC,https://www.facebook.com/610649932471943
Brooklyn Nine-Nine,BrooklynNineNine,https://www.facebook.com/310718132392309
Last Man Standing,LastManStandingFOX,https://www.facebook.com/124383187641167
The Resident,TheResidentonFOX,https://www.facebook.com/1697323807231225
Law & Order,nbclawandorder,https://www.facebook.com/9840307932
The Blacklist,NBCBlacklist,https://www.facebook.com/315791511882046
48 Hours,48hours,https://www.facebook.com/61768923495
Station 19,Station19ABC,https://www.facebook.com/350225162112278
S.W.A.T.,SWATCBS,https://www.facebook.com/1272041369580527
The Rookie,TheRookieABC,https://www.facebook.com/214062762478176
60 Minutes,60minutes,https://www.facebook.com/31543029394
NCIS,NCIS,https://www.facebook.com/40027521936
Family Guy,FamilyGuy,https://www.facebook.com/24609282673
Blue Bloods,CBSBlueBloods,https://www.facebook.com/117840574919992
NCIS New Orleans,NCISNewOrleans,https://www.facebook.com/706879882677744
ABC 20/20,ABC2020,https://www.facebook.com/163497464933
Dancing with the Stars,dancingwiththestars,https://www.facebook.com/8214706739
NCIS: Los Angeles,NCISLA,https://www.facebook.com/81446825757
The Conners,TheConnersABC,https://www.facebook.com/1454716688007653
Good Girls,NBCGoodGirls,https://www.facebook.com/286094561830947
A Million Little Things,MillionLittleThingsABC,https://www.facebook.com/174528653165581
Survivor,Survivor,https://www.facebook.com/59672943648
The Goldbergs,TheGoldbergsABC,https://www.facebook.com/459068727496944
New Amsterdam,NBCNewAmsterdam,https://www.facebook.com/147265092793072
The Simpsons,TheSimpsons,https://www.facebook.com/29534858696
The Flash,CWTheFlash,https://www.facebook.com/583390655086575
Bob's Burgers,BobsBurgers,https://www.facebook.com/102666876445950
FBI,FBICBS,https://www.facebook.com/205731876681241
All American,CWAllAmerican,https://www.facebook.com/230602157505393
DC's Legends of Tomorrow,CWLegendsofTomorrow,https://www.facebook.com/1567187933555959
black-ish,blackishABC,https://www.facebook.com/276865395802593
Dynasty on The CW,DynastyOnTheCW,https://www.facebook.com/462552934132838
Legacies,CWLegacies,https://www.facebook.com/192517898212517
The Bachelorette,TheBachelorette,https://www.facebook.com/17342227845
Hell's Kitchen,HellsKitchen,https://www.facebook.com/13427984738
America's Got Talent,agt,https://www.facebook.com/10646929759
Black Lightning,CWBlackLightning,https://www.facebook.com/376751626018973
Supergirl,TheCWSupergirl,https://www.facebook.com/138873313190028
Magnum P.I.,MagnumPICBS,https://www.facebook.com/161070067871024
Ninja Warrior,ninjawarrior,https://www.facebook.com/110349489394
Bull,BullCBS,https://www.facebook.com/1593257090985851
Charmed,CharmedCW,https://www.facebook.com/1654795988147554
In The Dark,CWInTheDark,https://www.facebook.com/368541346950411
Riverdale,CWRiverdale,https://www.facebook.com/993427307403330
The Neighborhood,TheNeighborhoodCBS,https://www.facebook.com/1970654403009296
Empire,OfficialEmpireTV,https://www.facebook.com/221127344750774
Criminal Minds,CriminalMinds,https://www.facebook.com/21531809863
Big Brother,BigBrother,https://www.facebook.com/64212309472
Shark Tank,SharkTank,https://www.facebook.com/166082193402927
Mom,MomCBS,https://www.facebook.com/346495508788789
Young Sheldon,YoungSheldonCBS,https://www.facebook.com/1248674341915000
Modern Family,ModernFamily,https://www.facebook.com/130577231135
Star Trek on Paramount+,StarTrekOnPPlus,https://www.facebook.com/1073059542745867
Chicago Med,ChicagoMed,https://www.facebook.com/1479040865653054
Fresh off the Boat,FreshOffTheBoatABC,https://www.facebook.com/1443588465873853
The Good Fight,thegoodfight,https://www.facebook.com/531157083760444
MasterChef,Masterchef,https://www.facebook.com/126204090726016
Ellen's Game of Games,GameOfGames,https://www.facebook.com/1469731606383795
Beat Shazam,BeatShazamFOX,https://www.facebook.com/1131252606983272
STAR,STAROfficialTV,https://www.facebook.com/789058757865133
Mental Samurai,mentalsamurai,https://www.facebook.com/276426206423464
"The $100,000 Pyramid",PyramidABC,https://www.facebook.com/747693315332598
Arrow,CWArrow,https://www.facebook.com/104137579724283
The Kids Are Alright,TheKidsAreAlrightABC,https://www.facebook.com/171231523708370
MasterChef Junior,MasterchefJuniorFOX,https://www.facebook.com/329991720461519
Single Parents,SingleParentsABC,https://www.facebook.com/134646794023288
A.P. Bio,apbiopeacock,https://www.facebook.com/1390390974357780
Making It,NBCMakingIt,https://www.facebook.com/645346962326627
Schooled,SchooledABC,https://www.facebook.com/284875908633005
Child Support,childsupportabc,https://www.facebook.com/1435701646441949
So You Think You Can Dance,SoYouThinkYouCanDance,https://www.facebook.com/9748634303
The Bachelor,TheBachelor,https://www.facebook.com/34951293052
The Big Bang Theory,TheBigBangTheory,https://www.facebook.com/22934684677
Supernatural,Supernatural,https://www.facebook.com/9991232322
Hawaii Five-0,HawaiiFive0CBS,https://www.facebook.com/120000351366783
The Amazing Race,amazingrace,https://www.facebook.com/5298599940
Agents of S.H.I.E.L.D.,AgentsofShield,https://www.facebook.com/421182894613231
Gotham,GOTHAMonFOX,https://www.facebook.com/693029617393698
How to Get Away With Murder,HowToGetAwayWithMurder,https://www.facebook.com/611490952256306
Bachelor in Paradise,BachelorInParadise,https://www.facebook.com/262799010567881
The New Celebrity Apprentice,theapprentice,https://www.facebook.com/11100009009
Blindspot,NBCBlindspot,https://www.facebook.com/400470493462131
iZombie,cwizombie,https://www.facebook.com/236315886492189
Jane The Virgin,cwjanethevirgin,https://www.facebook.com/1425838674331956
Whose Line Is It Anyway?,cwwhoseline,https://www.facebook.com/144253865742989
Elementary,ElementaryCBS,https://www.facebook.com/151013691690417
The 100,cwthe100,https://www.facebook.com/485290944851948
Crazy Ex-Girlfriend,crazyxgf,https://www.facebook.com/701243620005232
Hollywood Game Night,HollywoodGameNight,https://www.facebook.com/301137650005230
Life In Pieces,LifeInPiecesTV,https://www.facebook.com/773183982773086
Madam Secretary,MadamSecretary,https://www.facebook.com/1422287701348053
Chicago P.D.,NBCChicagoPD,https://www.facebook.com/239104226231678
Superstore,NBCSuperstore,https://www.facebook.com/764744533610366
The Great Christmas Light Fight,TheGreatChristmasLightFight,https://www.facebook.com/943609729043869
Little Big Shots,NBCLittleBigShots,https://www.facebook.com/1445642119081376
Celebrity Family Feud,FamilyFeudABC,https://www.facebook.com/768145146634913
The Wall,NBCTheWall,https://www.facebook.com/428970557291474
The Good Place,NBCTheGoodPlace,https://www.facebook.com/798773163584746
Lethal Weapon FOX,LethalWeaponFOX,https://www.facebook.com/1048614701865396
American Housewife,AmericanHousewife,https://www.facebook.com/1754369734842515
Speechless,OfficialSpeechlessTV,https://www.facebook.com/1579376802355149
MacGyver on CBS,MacGyverCBS,https://www.facebook.com/1516100155362298
Man With A Plan,manwithaplancbs,https://www.facebook.com/239981373033165
Match Game on ABC,matchgameabc,https://www.facebook.com/1775196689365836
World of Dance,NBCWorldofDance,https://www.facebook.com/1035125326541622
Masters of Illusion,cwmastersofillusion,https://www.facebook.com/262024147334686
Penn and Teller: Fool Us,PennandTellerFoolUs,https://www.facebook.com/561494700612307
The Great American Baking Show,TheGreatAmericanBakingShow,https://www.facebook.com/508496069168042
Ransom,RansomCBS,https://www.facebook.com/341686299503890
Love Connection FOX,loveconnectionfox,https://www.facebook.com/1871217713123778
Will & Grace,NBCWillAndGrace,https://www.facebook.com/274769609646258
The Gifted,OfficialTheGifted,https://www.facebook.com/1432687680122316
The Orville,TheOrville,https://www.facebook.com/127428534470290
Splitting Up Together,SplittingUpTogether,https://www.facebook.com/964263143677270
For The People,ForThePeopleABC,https://www.facebook.com/1882503888686233
The Gong Show,TheGongShowABC,https://www.facebook.com/407007359638717
To Tell The Truth,ToTellTheTruthABC,https://www.facebook.com/1224410480979061
Instinct,InstinctCBS,https://www.facebook.com/106352196551680
Burden of Truth on CBC,tvburdenoftruth,https://www.facebook.com/555773867926329
Genius Junior,NBCGeniusJunior,https://www.facebook.com/1714501601900099
The Outpost,OutpostSeries,https://www.facebook.com/1682044982114763
The Fix ABC,TheFixABC,https://www.facebook.com/157214301621265
The Passage,OfficialThePassage,https://www.facebook.com/1418257988232350
Manifest,NBCManifest,https://www.facebook.com/1739007242796989
The Proposal TV,TheProposalTV,https://www.facebook.com/845879375603596
Rel,OfficialRel,https://www.facebook.com/573842446348328
The InBetween,nbctheinbetween,https://www.facebook.com/211376889432754
Whiskey Cavalier,WhiskeyCavalierABC,https://www.facebook.com/163971730968971
The Cool Kids,OfficialTheCoolKids,https://www.facebook.com/936576149800428
Proven Innocent,InnocentOnFOX,https://www.facebook.com/585739038477812
Grand Hotel,GrandHotelABC,https://www.facebook.com/2043689222339712
Happy Together,HappyTogetherCBS,https://www.facebook.com/175829033120342
Murphy Brown,murphybrowncbs,https://www.facebook.com/1192663420863891
God Friended Me,GodFriendedMeCBS,https://www.facebook.com/188980345068334
"Roswell, New Mexico",CWRoswellNM,https://www.facebook.com/1899890156721884
24 Hours to Hell and Back,24HoursFOX,https://www.facebook.com/2025222334366533
Titan Games,nbctitangames,https://www.facebook.com/1335260253241038
The Gilded Age,NBCGildedAge,https://www.facebook.com/892177307493481
The Code,TheCodeCBS,https://www.facebook.com/311833259356032
Fam,FamCBS,https://www.facebook.com/1889450041085573
The Red Line,TheRedLineCBS,https://www.facebook.com/1733647396699626
The Alec Baldwin Show,TheAlecBaldwinShowABC,https://www.facebook.com/102542320615457
Dancing with the Stars: Juniors,DWTSJuniors,https://www.facebook.com/1853724917980972
Spin The Wheel,SpinTheWheelFOX,https://www.facebook.com/1096834287137541
The World's Best,TheWorldsBestCBS,https://www.facebook.com/434834760265372
Million Dollar Mile,MillionDollarMile,https://www.facebook.com/326263587962460
Averages,,
