Page,Codename,URL
IFLScience,IFLScience,https://www.facebook.com/367116489976035
BBC Earth,bbcearth,https://www.facebook.com/118883634811868
Science,ScienceMagazine,https://www.facebook.com/96191425588
NASA - National Aeronautics and Space Administration,NASA,https://www.facebook.com/54971236771
Big Think,BigThinkdotcom,https://www.facebook.com/46126453526
ScienceAlert,ScienceAlert,https://www.facebook.com/7557552517
Inverse,inverse,https://www.facebook.com/820406651341117
News from Science,ScienceNOW,https://www.facebook.com/100864590107
NowThis Earth,NowthisEarth,https://www.facebook.com/1010847105623136
io9,io9.com,https://www.facebook.com/393386711693
Seeker,SeekerMedia,https://www.facebook.com/107124643386
BBC Future,BBCFuture,https://www.facebook.com/279678448760878
NASA's Marshall Space Flight Center,nasamarshallcenter,https://www.facebook.com/374623305761
NASA's Wallops Flight Facility,NASAWFF,https://www.facebook.com/191575794205863
Guardian Science,guardianscience,https://www.facebook.com/112532855474661
ScienceDump,sciencedump,https://www.facebook.com/111815475513565
Big Think Science,BigThinkScience,https://www.facebook.com/1127703627341760
International Space Station,ISS,https://www.facebook.com/168170833215856
NASA's Johnson Space Center,NASAJSC,https://www.facebook.com/267875289901288
Science Insider,BusinessInsiderScience,https://www.facebook.com/893675634074447
New Scientist,newscientist,https://www.facebook.com/235877164588
Popular Science,PopSci,https://www.facebook.com/60342206410
ESA - European Space Agency,EuropeanSpaceAgency,https://www.facebook.com/54912575666
NASA's Kennedy Space Center,NASAKennedy,https://www.facebook.com/86505458090
Discover Magazine,DiscoverMag,https://www.facebook.com/9045517075
MIT Technology Review,technologyreview,https://www.facebook.com/17043549797
NASA Earth,nasaearth,https://www.facebook.com/57242657138
NASA Solar System Exploration,nasasolarsystem,https://www.facebook.com/79209882917
NASA Jet Propulsion Laboratory,NASAJPL,https://www.facebook.com/8261258923
Scientific American,ScientificAmerican,https://www.facebook.com/22297920245
Hubble Space Telescope,HubbleTelescope,https://www.facebook.com/119164799807
NASA's Space Launch System,NASASLS,https://www.facebook.com/161692063946619
NASA 360,FollowNASA360,https://www.facebook.com/33527980284
NASA Sun Science,NASASunScience,https://www.facebook.com/118107518236480
NASA’s Curiosity Mars Rover,MarsCuriosity,https://www.facebook.com/110938085622842
NASA Climate Change,NASAClimateChange,https://www.facebook.com/353034908075
NASA Mars,nasamars,https://www.facebook.com/79119377085
Chandra X-ray Observatory,chandraxrayobservatory,https://www.facebook.com/36786020343
BBC Science News,BBCScienceNews,https://www.facebook.com/295830058648
NASA History,NASAHistoryOffice,https://www.facebook.com/519024461482574
Physics World,physicsworld,https://www.facebook.com/148701546120
NASA's James Webb Space Telescope,NASAWebb,https://www.facebook.com/382651265048
NASA Goddard,NASAGoddard,https://www.facebook.com/395013845897
NASA Technology,NASATechnology,https://www.facebook.com/108559879193246
NASA Commercial Crew Program,NASACommercialCrew,https://www.facebook.com/159333767496823
Women@NASA,WomenatNASA,https://www.facebook.com/108331485963099
NASA's John C. Stennis Space Center,NASAStennis,https://www.facebook.com/134512156591701
NASA’s Orion Spacecraft,NASAOrion,https://www.facebook.com/129562970446777
NASA's Armstrong Flight Research Center,nasaarmstrong,https://www.facebook.com/133468870046835
Science Friday,scifri,https://www.facebook.com/10862798402
NASA Astrobiology,NasaAstrobiology,https://www.facebook.com/436709166367289
NASA Universe,NASAUniverse,https://www.facebook.com/175603359135248
NASA STEM,NASASTEMEngagement,https://www.facebook.com/176813089042984
WIRED Science,wiredscience,https://www.facebook.com/6607338526
NASA Langley Research Center,nasalarc,https://www.facebook.com/115589531820707
