Page,Codename,URL
Popular Mechanics,popularmechanics,https://www.facebook.com/81276070943
Afrotech,BlavityAfrotech,https://www.facebook.com/403462853382734
NowThis Earth,NowthisEarth,https://www.facebook.com/1010847105623136
Seeker,SeekerMedia,https://www.facebook.com/107124643386
Engadget,Engadget,https://www.facebook.com/5738237369
Guardian Science,guardianscience,https://www.facebook.com/112532855474661
Tech Insider,techinsider,https://www.facebook.com/352751268256569
Guardian Technology,guardiantechnology,https://www.facebook.com/172250719484902
WIRED,wired,https://www.facebook.com/19440638720
Science Insider,BusinessInsiderScience,https://www.facebook.com/893675634074447
Popular Science,PopSci,https://www.facebook.com/60342206410
MIT Technology Review,technologyreview,https://www.facebook.com/17043549797
The New York Times - Science,nytimesscience,https://www.facebook.com/105307012882667
FutureShift by Mashable,mashablefutureshift,https://www.facebook.com/335422937918
MOTHERBOARD,motherboardtv,https://www.facebook.com/65088937560
Ars Technica,arstechnica,https://www.facebook.com/19374573752
TechCrunch,techcrunch,https://www.facebook.com/8062627951
Verge Reviews,vergereviews,https://www.facebook.com/1560128030946687
Verge Science,vergescience,https://www.facebook.com/1048091338583119
BuzzFeed Science,BuzzFeedScience,https://www.facebook.com/570121896451040
Science of Us,scienceofus,https://www.facebook.com/256319744523573
WSJ Tech,WSJTech,https://www.facebook.com/397062380473482
The Future Is Now,thefutureisnowbymic,https://www.facebook.com/720610231382345
Select All,SelectAll,https://www.facebook.com/1666955993567886
Seeker VR,seekervr,https://www.facebook.com/1622203144745167
Averages,,
