Page,Codename,URL
La Arrolladora Banda El Limón,arrolladoraoficial,https://www.facebook.com/129350340416369
방탄소년단,bangtan.official,https://www.facebook.com/561348433880423
Will Smith,WillSmith,https://www.facebook.com/92304305160
Dwayne The Rock Johnson,DwayneJohnson,https://www.facebook.com/406433779383
Avant,avant,https://www.facebook.com/39237863952
Dua Lipa,DuaLipa,https://www.facebook.com/123471471072112
TobyMac,tobymac,https://www.facebook.com/10162931178
Ed Sheeran,EdSheeranMusic,https://www.facebook.com/9189674485
Boosie Badazz,lilboosie,https://www.facebook.com/571097089728026
50 Cent,50cent,https://www.facebook.com/5769333796
Jasmine V,jasminevillegas,https://www.facebook.com/321178188649
Ángela Aguilar,AngelaAguilarOficial,https://www.facebook.com/411085195613511
Natti Natasha,NattiNatashaOfficial,https://www.facebook.com/108097215927323
Camilo,camilomusica,https://www.facebook.com/317337420952
NCT,NCT.smtown,https://www.facebook.com/1678139032441686
Tamer Hosny,TamerHosny,https://www.facebook.com/207891845917920
M-TP,MTP.Fan,https://www.facebook.com/309972372349806
Young Money,youngmoneyent,https://www.facebook.com/250557104239
R. Kelly,Rkelly,https://www.facebook.com/153213885830
Nicki Minaj,nickiminaj,https://www.facebook.com/150024648352527
Anne-Marie,iamannemarie,https://www.facebook.com/203431116371936
Rauw Alejandro,rauwalejandro,https://www.facebook.com/674115322687364
Jennifer Lopez,jenniferlopez,https://www.facebook.com/5170395767
Gianni Morandi,giannimorandiofficial,https://www.facebook.com/93146378437
Belinda,belindapop,https://www.facebook.com/591723750888699
Sebastian Yatra,OficialSebastianYatra,https://www.facebook.com/1398160153770510
Luis Fonsi,luisfonsi,https://www.facebook.com/11430503918
Karter Zaher,KarterZaher,https://www.facebook.com/19298409261
Marcos Witt,marcoswitt,https://www.facebook.com/53498462073
Nick Jonas,nickjonas,https://www.facebook.com/173093076641
Blake Shelton,blakeshelton,https://www.facebook.com/5842919894
Katy Perry,katyperry,https://www.facebook.com/7126051465
