Page,Codename,URL
Daily Mail Sport,DailyMailSport,https://www.facebook.com/274917909278341
Guardian football,guardianfootball,https://www.facebook.com/134117896601221
Telemundo Deportes,TELEMUNDODEPORTES,https://www.facebook.com/171863736207762
Sports Illustrated,SportsIllustrated,https://www.facebook.com/14553116366
FOX Deportes,foxdeportes,https://www.facebook.com/157146604310435
Golf Digest,GolfDigest,https://www.facebook.com/22983068728
Tennis Magazine,TennisMagFrance,https://www.facebook.com/136125513069048
SB Nation,sbnation,https://www.facebook.com/39606211535
Deadspin,deadspin,https://www.facebook.com/436749055071
SB Nation NBA,SBNationNBA,https://www.facebook.com/143203489108626
Guardian sport,guardiansport,https://www.facebook.com/291505277550034
UPROXX Sports,UPROXXSports,https://www.facebook.com/119737589217
NowThis Sports,NowThisSports,https://www.facebook.com/627815880722081
The Loop,GoToTheLoop,https://www.facebook.com/599584300250986
Sports Illustrated Wrestling,SportsIllustratedWrestling,https://www.facebook.com/282499318858654
World Soccer Magazine,WorldSoccerMagazine,https://www.facebook.com/127438073969352
Sports Insider,BusinessInsider.Sports,https://www.facebook.com/177520095600634
Sports Illustrated Planet Futbol,SIPlanetFutbol,https://www.facebook.com/226326171071658
SB Nation MLB,SBNationMLB,https://www.facebook.com/506150186145859
VICE Sports,vicesports,https://www.facebook.com/1482820258618380
SB Nation NFL,SBNationNFL,https://www.facebook.com/166109426915467
Sports Illustrated's The Crossover,SportsIllustratedNBA,https://www.facebook.com/714864998646060
Sports Illustrated Edge,SportsIllustratedEdge,https://www.facebook.com/989197877862522
Sports Illustrated MLB,SportsIllustratedMLB,https://www.facebook.com/168061840276343
Averages,,
